단어,발음기호,한국어발음,분류,품사,뜻,예문,예문해석,예문2,예문2해석,예문3,예문3해석,예문4,예문4해석
optimistic,/ˌɑːptɪˈmɪstɪk/,압ː티[미]스틱,"1-3 Emotions, Personality and States 감정·성격·상태",형,낙관적인,My coworker stays **optimistic** during busy periods.,내 동료는 바쁜 시기에도 낙관적인 태도를 유지한다.,,,,,,
thoughtful,/ˈθɔːtfl/,[쏘]ː트풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,사려 깊은; 배려하는,A **thoughtful** coworker offered to help with my workload.,사려 깊은 동료가 내 업무를 도와주겠다고 했다.,,,,,,
timid,/ˈtɪmɪd/,[티]미드,"1-3 Emotions, Personality and States 감정·성격·상태",형,내성적인; 소심한,"At the office, my coworker seems **timid**.",내 동료는 소심한 사람이다.,,,,,,
diffident,/ˈdɪfɪdənt/,[디]피던트,"1-3 Emotions, Personality and States 감정·성격·상태",형,자신 없는; 수줍은,I have noticed that my coworker is **diffident**.,내 동료는 자신감이 부족한 사람이다.,,,,,,
determined,/dɪˈtɜːrmɪnd/,디[터]ː민드,"1-3 Emotions, Personality and States 감정·성격·상태",형,단단히 결심한; 단호한,My coworker is especially **determined** during busy periods.,내 동료는 단호한 사람이다.,,,,,,
innocent,/ˈɪnəsnt/,[이]너슨트,"1-3 Emotions, Personality and States 감정·성격·상태",형,결백한; 순진한,The court found him **innocent**.,법원은 그가 무죄라고 판단했다.,,,,,,
responsive,/rɪˈspɑːnsɪv/,리스[판]ː시브,"1-3 Emotions, Personality and States 감정·성격·상태",형,즉각 반응하는; 호응하는,The support team is **responsive**.,고객 지원팀은 대응이 빠르다.,,,,,,
undecided,/ˌʌndɪˈsaɪdɪd/,언디[사]이디드,"1-3 Emotions, Personality and States 감정·성격·상태",형,결정하지 못하는; 미정의,The meeting date is still **undecided**.,회의 날짜는 아직 정해지지 않았다.,,,,,,
outgoing,/ˈaʊtɡoʊɪŋ/,[아]웃고잉,"1-3 Emotions, Personality and States 감정·성격·상태",형,외향적인; 사교적인,I would call my coworker **outgoing**.,내 동료는 외향적인 사람이다.,,,,,,
friendly,/ˈfrendli/,프[렌]들리,"1-3 Emotions, Personality and States 감정·성격·상태",형,친근한; 다정한,People often describe my coworker as **friendly**.,내 동료는 친근한 사람이다.,,,,,,
generous,/ˈdʒenərəs/,[제]너러스,"1-3 Emotions, Personality and States 감정·성격·상태",형,너그러운; 관대한,My coworker was **generous** with her time and advice.,내 동료는 시간과 조언을 아낌없이 나누어 주었다.,,,,,,
honest,/ˈɑːnɪst/,[아]ː니스트,"1-3 Emotions, Personality and States 감정·성격·상태",형,정직한; 솔직한,My coworker remains **honest** even under pressure.,내 동료는 정직한 사람이다.,,,,,,
polite,/pəˈlaɪt/,펄[라]이트,"1-3 Emotions, Personality and States 감정·성격·상태",형,예의 바른; 공손한,My coworker became more **polite** over time.,내 동료는 예의 바른 사람이다.,,,,,,
patient,/ˈpeɪʃnt/,[페]이션트,"1-3 Emotions, Personality and States 감정·성격·상태",형,참을성 있는,I realized how **patient** my coworker can be.,내 동료는 참을성 있는 사람이다.,,,,,,
responsible,/rɪˈspɑːnsəbl/,리스[판]ː서블,"1-3 Emotions, Personality and States 감정·성격·상태",형,책임감 있는; 책임이 있는,Others find my coworker **responsible**.,내 동료는 책임감 있는 사람이다.,,,,,,
diligent,/ˈdɪlɪdʒənt/,[딜]리전트,"1-3 Emotions, Personality and States 감정·성격·상태",형,성실한; 근면한,The team considers my coworker **diligent**.,내 동료는 성실한 사람이다.,,,,,,
stubborn,/ˈstʌbərn/,스[터]번,"1-3 Emotions, Personality and States 감정·성격·상태",형,고집 센; 완고한,My coworker sounds **stubborn** when speaking to customers.,내 동료는 고집이 센 사람이다.,,,,,,
selfish,/ˈselfɪʃ/,[셀]피쉬,"1-3 Emotions, Personality and States 감정·성격·상태",형,이기적인,My coworker can be very **selfish**.,내 동료는 이기적인 사람이다.,,,,,,
aggressive,/əˈɡresɪv/,어그[레]시브,"1-3 Emotions, Personality and States 감정·성격·상태",형,공격적인; 적극적인,The company set an **aggressive** sales target.,그 회사는 도전적인 매출 목표를 세웠다.,,,,,,
talkative,/ˈtɔːkətɪv/,[토]ː커티브,"1-3 Emotions, Personality and States 감정·성격·상태",형,수다스러운; 말이 많은,Everyone says my coworker is **talkative**.,내 동료는 말이 많은 사람이다.,,,,,,
sociable,/ˈsoʊʃəbl/,[소]우셔블,"1-3 Emotions, Personality and States 감정·성격·상태",형,사교적인,My coworker tends to be **sociable**.,내 동료는 사교적인 사람이다.,,,,,,
sensitive,/ˈsensətɪv/,[센]서티브,"1-3 Emotions, Personality and States 감정·성격·상태",형,예민한; 민감한; 세심한,She is **sensitive** to customer needs.,그녀는 고객의 요구에 세심하게 반응한다.,,,,,,
pessimistic,/ˌpesɪˈmɪstɪk/,페시[미]스틱,"1-3 Emotions, Personality and States 감정·성격·상태",형,비관적인,My coworker has always been **pessimistic**.,내 동료는 비관적인 사람이다.,,,,,,
cold,/koʊld/,[코]울드,"1-3 Emotions, Personality and States 감정·성격·상태",명/형,명: 감기 / 형: ① 추운; 차가운 ② 냉정한,I caught a **cold** last week.,나는 지난주에 감기에 걸렸다.,The water is **cold**.,물이 차갑다.,His reply sounded **cold**.,그의 대답은 냉정하게 들렸다.,,
hot,/hɑːt/,[핫]ː,"1-3 Emotions, Personality and States 감정·성격·상태",형,① 더운; 뜨거운 ② 매운,"The soup is **hot**, so be careful.",수프가 뜨거우니 조심하세요.,This curry is too **hot** for me.,이 카레는 나에게 너무 맵다.,,,,
drunk,/drʌŋk/,드[렁]크,"1-3 Emotions, Personality and States 감정·성격·상태",형,술 취한,He was **drunk** after the party.,그는 파티 후 술에 취했다.,,,,,,
painful,/ˈpeɪnfl/,[페]인풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,고통스러운; 아픈,My knee is **painful** after the long walk.,내 무릎은 아프다.,,,,,,
tired,/ˈtaɪərd/,[타]이어드,"1-3 Emotions, Personality and States 감정·성격·상태",형,피곤한; 지친,Work often leaves me feeling **tired**.,나는 퇴근 후 피곤하다.,,,,,,
hungry,/ˈhʌŋɡri/,[헝]그리,"1-3 Emotions, Personality and States 감정·성격·상태",형,배고픈,"By the time I get home, I am **hungry**.",나는 퇴근 후 배가 고프다.,,,,,,
thirsty,/ˈθɜːrsti/,[써]ː스티,"1-3 Emotions, Personality and States 감정·성격·상태",형,목마른,I feel **thirsty** after exercising.,나는 운동 후 목이 마르다.,,,,,,
sleepy,/ˈsliːpi/,슬[리]ː피,"1-3 Emotions, Personality and States 감정·성격·상태",형,졸린,I feel **sleepy** after lunch.,나는 점심을 먹고 나면 졸리다.,,,,,,
exhausted,/ɪɡˈzɔːstɪd/,이그[조]ː스티드,"1-3 Emotions, Personality and States 감정·성격·상태",형,기진맥진한; 탈진한,I feel **exhausted** after the long trip.,나는 긴 여행 후 기진맥진하다.,,,,,,
sick,/sɪk/,[씩],"1-3 Emotions, Personality and States 감정·성격·상태",형,아픈; 메스꺼운,I feel **sick** today.,나는 오늘 몸이 아프다.,,,,,,
dizzy,/ˈdɪzi/,[디]지,"1-3 Emotions, Personality and States 감정·성격·상태",형,어지러운,I feel **dizzy** when I stand up quickly.,나는 갑자기 일어나면 어지럽다.,,,,,,
healthy,/ˈhelθi/,[헬]씨,"1-3 Emotions, Personality and States 감정·성격·상태",형,건강한,I feel **healthy** after changing my diet.,나는 식단을 바꾼 뒤 건강해진 느낌이다.,,,,,,
energetic,/ˌenərˈdʒetɪk/,에너[제]틱,"1-3 Emotions, Personality and States 감정·성격·상태",형,활기찬; 정력적인,I feel **energetic** this morning.,나는 오늘 아침 활력이 넘친다.,,,,,,
stressed,/strest/,스트[레]스트,"1-3 Emotions, Personality and States 감정·성격·상태",형,스트레스받은,I feel **stressed** before a deadline.,나는 마감일 전에 스트레스를 받는다.,,,,,,
comfortable,/ˈkʌmftəbl/,[컴]프터블,"1-3 Emotions, Personality and States 감정·성격·상태",형,편안한,I feel **comfortable** in this chair.,나는 이 의자에 앉으면 편안하다.,,,,,,
height,/haɪt/,[하]이트,1-4 Height 키,명,키; 높이,Please enter your **height** on the form.,양식에 키를 입력해 주세요.,,,,,,
tall,/tɔːl/,[톨]ː,1-4 Height 키,형,키가 큰; 높은,My brother is **tall**.,내 남동생은 키가 크다.,,,,,,
short,/ʃɔːrt/,[쇼]ː트,1-4 Height 키,형,키가 작은; 짧은,I was **short** in middle school.,나는 중학생 때 키가 작았다.,,,,,,
average height,/ˈævərɪdʒ haɪt/,[애]버리지 하이트,1-4 Height 키,구,보통 키,She is of **average height**.,그녀는 보통 키다.,,,,,,
medium height,/ˈmiːdiəm haɪt/,[미]ː디엄 하이트,1-4 Height 키,구,중간 키,He is of **medium height**.,그는 중간 키다.,,,,,,
of medium height,/əv ˈmiːdiəm haɪt/,어브 [미]ː디엄 하이트,1-4 Height 키,구,중간 키의,The new employee is **of medium height**.,그 신입 직원은 중간 키다.,,,,,,
grow,/ɡroʊ/,그[로]우,1-4 Height 키,동,자라다; 크다; 기르다,Children **grow** quickly during their early years.,아이들은 어린 시절에 빠르게 자란다.,,,,,,
weight,/weɪt/,[웨]이트,1-5 Body Type and Weight 체형과 몸무게,명,몸무게; 무게; 체중,I check my **weight** once a week.,나는 일주일에 한 번 몸무게를 확인한다.,,,,,,
average,/ˈævərɪdʒ/,[애]버리지,1-5 Body Type and Weight 체형과 몸무게,형/명,형: 보통의; 평균적인 / 명: 평균,He has an **average** build.,그는 보통 체격이다.,The **average** weight in the group was 65 kilograms.,그 그룹의 평균 체중은 65킬로그램이었다.,,,,
normal,/ˈnɔːrml/,[노]ː멀,1-5 Body Type and Weight 체형과 몸무게,형,보통의; 정상의,My weight is back to **normal**.,내 체중은 정상으로 돌아왔다.,,,,,,
slim,/slɪm/,슬[림],1-5 Body Type and Weight 체형과 몸무게,형/동,형: 날씬한; 호리호리한 / 동: 살을 빼다; 날씬해지다,His **slim** build makes him look healthy.,그는 날씬하고 건강해 보인다.,She is trying to **slim** before her vacation.,그녀는 휴가 전에 살을 빼려고 한다.,,,,
slender,/ˈslendər/,슬[렌]더,1-5 Body Type and Weight 체형과 몸무게,형,호리호리한; 가느다란,He appears both **slender** and strong.,그는 호리호리하고 건강해 보인다.,,,,,,
thin,/θɪn/,[씬],1-5 Body Type and Weight 체형과 몸무게,형/동,형: 마른; 얇은 / 동: 가늘어지다; 살이 빠지다,He looks **thin** after losing weight.,그는 살이 빠진 뒤 말라 보인다.,The crowd began to **thin** after lunch.,점심 이후 군중이 점점 줄어들었다.,,,,
skinny,/ˈskɪni/,스[키]니,1-5 Body Type and Weight 체형과 몸무게,형,깡마른; 삐쩍 마른,The doctor said he was **skinny**.,의사는 그가 매우 말랐다고 말했다.,,,,,,
lean,/liːn/,[린]ː,1-5 Body Type and Weight 체형과 몸무게,형,군살이 없는; 탄탄한,He looks **lean** and strong.,그는 군살 없이 탄탄해 보인다.,,,,,,
chubby,/ˈtʃʌbi/,[처]비,1-5 Body Type and Weight 체형과 몸무게,형,통통한,He was a little **chubby** as a child.,그는 어릴 때 조금 통통했다.,,,,,,
plump,/plʌmp/,플[럼]프,1-5 Body Type and Weight 체형과 몸무게,형,포동포동한; 통통한,His family remembers him as a **plump** child.,그는 어릴 때 조금 포동포동했다.,,,,,,
pudgy,/ˈpʌdʒi/,[퍼]지,1-5 Body Type and Weight 체형과 몸무게,형,통통한; 땅딸막한,"As a child, he was slightly **pudgy**.",그는 어릴 때 조금 통통했다.,,,,,,
overweight,/ˌoʊvərˈweɪt/,오버[웨]이트,1-5 Body Type and Weight 체형과 몸무게,형,과체중의,The doctor described him as **overweight**.,의사는 그가 과체중이라고 말했다.,,,,,,
heavy,/ˈhevi/,[헤]비,1-5 Body Type and Weight 체형과 몸무게,형,체격이 큰; 무거운,He is **heavy** for his height.,그는 키에 비해 체격이 큰 편이다.,,,,,,
fat,/fæt/,[퍁],1-5 Body Type and Weight 체형과 몸무게,형/명,형: 뚱뚱한 / 명: 지방,His medical check showed that he was **fat**.,의사는 그가 뚱뚱하다고 말했다.,This yogurt is low in **fat**.,이 요거트는 지방 함량이 낮다.,,,,
obese,/oʊˈbiːs/,오우[비]ː스,1-5 Body Type and Weight 체형과 몸무게,형,비만의,The doctor noted that he looked **obese**.,의사는 그가 비만이라고 말했다.,,,,,,
muscular,/ˈmʌskjələr/,[머]스큘러,1-5 Body Type and Weight 체형과 몸무게,형,근육질의; 근육의,People describe him as **muscular** and healthy.,그는 근육질이고 건강해 보인다.,,,,,,
stocky,/ˈstɑːki/,스[타]ː키,1-5 Body Type and Weight 체형과 몸무게,형,다부진; 땅딸막한,His **stocky** frame makes him look strong.,그의 다부진 체격은 그를 강해 보이게 한다.,,,,,,
well-built,/ˌwel ˈbɪlt/,웰 [빌]트,1-5 Body Type and Weight 체형과 몸무게,형,체격이 좋은; 다부진,He is **well-built** and exercises regularly.,그는 체격이 좋고 규칙적으로 운동한다.,,,,,,
fit,/fɪt/,[퓥],1-5 Body Type and Weight 체형과 몸무게,형/동,형: 건강한; 탄탄한 / 동: 몸에 맞다,Exercise helps him stay **fit** and healthy.,그는 건강하고 탄탄해 보인다.,This jacket **fits** me well.,이 재킷은 내 몸에 잘 맞는다.,,,,
in shape,/ɪn ʃeɪp/,인 [쉐]입,1-5 Body Type and Weight 체형과 몸무게,구,몸 상태가 좋은,I exercise three times a week to stay **in shape**.,나는 좋은 몸 상태를 유지하려고 일주일에 세 번 운동한다.,,,,,,
out of shape,/aʊt əv ʃeɪp/,아웃 어브 [쉐]입,1-5 Body Type and Weight 체형과 몸무게,구,몸이 둔해진,I felt **out of shape** after a long break from exercise.,나는 오랫동안 운동을 쉬어서 몸이 둔해진 느낌이 들었다.,,,,,,
hairstyle,/ˈherstaɪl/,[헤]어스타일,1-6 Hairstyles and Facial Hair 머리 모양과 수염,명,머리 모양; 헤어스타일,I tried a shorter **hairstyle** before the summer began.,나는 여름이 시작되기 전에 더 짧은 머리 모양을 시도했다.,,,,,,
straight hair,/streɪt her/,스트[레]이트 헤어,1-6 Hairstyles and Facial Hair 머리 모양과 수염,구,곧은 머리; 생머리,Her **straight hair** falls neatly over her shoulders.,그녀의 생머리는 어깨 위로 단정하게 내려온다.,,,,,,
wavy hair,/ˈweɪvi her/,[웨]이비 헤어,1-6 Hairstyles and Facial Hair 머리 모양과 수염,구,웨이브 머리,A little mousse gives my **wavy hair** more shape.,약간의 무스가 내 웨이브 머리를 더 또렷하게 잡아 준다.,,,,,,
curly hair,/ˈkɜːrli her/,[컬]ː리 헤어,1-6 Hairstyles and Facial Hair 머리 모양과 수염,구,곱슬머리,He uses a wide comb on his **curly hair**.,그는 곱슬머리에 빗살이 넓은 빗을 사용한다.,,,,,,
short hair,/ʃɔːrt her/,[쇼]ː트 헤어,1-6 Hairstyles and Facial Hair 머리 모양과 수염,구,짧은 머리,My **short hair** dries quickly after a shower.,내 짧은 머리는 샤워 후에 금방 마른다.,,,,,,
long hair,/lɔːŋ her/,[롱]ː 헤어,1-6 Hairstyles and Facial Hair 머리 모양과 수염,구,긴 머리,She tied her **long hair** back while cooking.,그녀는 요리하는 동안 긴 머리를 뒤로 묶었다.,,,,,,
